Organization,Designation,Division,District,Upazila,Employee,"Employee mobile",Email,"Organization contact"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কোটালীপাড়া, গোপালগঞ্জ‌","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,গোপালগঞ্জ,কোটালিপাড়া,,,,"কোটালীপাড়া, গোপালগঞ্জ‌"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মুকসুদপুর, গোপালগঞ্জ","প্রোগ্রাম অফিসার",ঢাকা,গোপালগঞ্জ,মুকসুদপুর,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মুকসুদপুর, গোপালগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,গোপালগঞ্জ,মুকসুদপুর,,,,"মুকসুদপুর, গোপালগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,টুংগীপাড়া, গোপালগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,গোপালগঞ্জ,টংগীপাড়া,,,,"টুংগীপাড়া, গোপালগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,অষ্টগ্রাম, কিশোরগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,কিশোরগঞ্জ,অষ্টগ্রাম,,,,"অষ্টগ্রাম, কিশোরগঞ্জ"
"উপপরিচালকের কার্যালয়",উপপরিচালক,ঢাকা,কিশোরগঞ্জ,অষ্টগ্রাম,,,,
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,বাজিতপুর, কিশোরগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,কিশোরগঞ্জ,বাজিতপুর,,,,"বাজিতপুর, কিশোরগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ভৈরব, কিশোরগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,কিশোরগঞ্জ,ভৈরব,"আসমা খাতুন",015656565656,email@email.com,"ভৈরব, কিশোরগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,হোসেনপুর, কিশোরগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,কিশোরগঞ্জ,হোসেনপুর,,,,"হোসেনপুর, কিশোরগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,ইটনা, কিশোরগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,কিশোরগঞ্জ,ইটনা,,,,"ইটনা, কিশোরগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,করিমগঞ্জ, কিশোরগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,কিশোরগঞ্জ,করিমগঞ্জ,,,,"করিমগঞ্জ, কিশোরগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কটিয়াদি, কিশোরগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,কিশোরগঞ্জ,কটিয়াদী,,,,"কটিয়াদি, কিশোরগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,কুলিয়ারচর, কিশোরগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,কিশোরগঞ্জ,"কুলিয়ার চর",,,,"কুলিয়ারচর, কিশোরগঞ্জ"
"উপজেলা মহিলা বিষয়ক কর্মকর্তার কার্যালয়,মিঠামইন, কিশোরগঞ্জ","উপজেলা মহিলা বিষয়ক কর্মকর্তা",ঢাকা,কিশোরগঞ্জ,মিঠামইন,,,,"মিঠামইন, কিশোরগঞ্জ"
